,2020-01-23,2020-02-21,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,Grand Total
M5C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,18
M5E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,3,1,1,0,0,0,1,2,0,3,0,0,2,1,0,0,1,0,46
M5G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,29
M5H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,24
M5J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,2,1,1,1,0,0,1,0,1,0,1,1,0,1,2,1,2,1,0,1,0,4,0,0,0,2,0,52
M5M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,2,1,0,1,0,2,1,3,0,0,5,0,2,1,0,4,2,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,2,1,0,4,2,3,2,2,1,1,79
M5N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,2,0,0,0,2,2,1,1,1,0,2,1,0,1,0,2,0,1,1,0,0,1,0,0,3,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,5,4,1,3,0,1,0,4,2,0,0,1,1,1,0,94
M5P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,3,0,0,47
M5R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,1,2,6,0,0,0,1,0,0,2,1,0,2,1,0,1,1,1,0,1,0,0,0,0,3,1,1,0,4,1,2,0,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,2,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,1,2,1,0,2,3,1,1,2,4,4,1,1,2,3,4,11,23,3,1,3,0,162
M5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,3,4,2,1,0,3,2,0,0,1,1,2,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,3,1,1,1,0,0,2,3,1,2,2,1,0,66
M5T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,3,5,1,0,1,5,1,4,2,7,4,19,3,0,0,0,0,3,1,0,1,3,1,1,1,3,1,3,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,4,1,0,0,1,1,1,2,0,3,0,2,0,1,1,4,2,1,1,0,3,1,1,1,150
M5V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,1,6,4,1,3,1,2,4,7,4,1,1,2,4,1,0,3,2,1,1,1,0,0,1,0,3,1,1,2,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,3,0,1,0,1,1,0,12,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,2,3,0,3,0,2,1,1,2,0,10,4,1,1,0,1,1,0,0,2,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,1,0,0,2,0,1,1,0,2,1,0,1,1,1,0,2,1,0,0,0,3,3,5,9,2,4,15,7,7,9,10,8,4,5,14,13,11,9,5,14,9,7,9,9,4,9,3,381
M6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,4,1,2,0,1,4,2,1,2,2,1,1,4,2,3,0,2,1,2,0,1,4,4,3,0,3,3,2,1,1,1,0,1,1,4,3,4,3,7,2,2,0,0,4,5,1,0,2,5,4,5,0,0,2,0,0,1,1,1,1,0,2,0,0,2,0,2,1,3,4,1,1,0,2,2,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,2,1,2,0,0,0,0,0,1,1,0,1,1,1,2,1,1,1,0,1,4,1,0,0,0,3,2,1,2,1,0,7,3,6,5,3,1,9,3,5,8,1,6,1,261
M6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,1,0,3,1,3,1,1,0,0,2,1,1,1,1,4,1,2,1,3,1,2,0,1,1,0,2,3,10,2,6,3,5,2,3,1,5,2,1,1,1,2,0,2,1,2,1,3,4,15,6,9,22,8,5,1,2,4,5,1,11,5,3,5,5,10,7,13,5,1,2,2,1,3,5,2,0,2,3,0,0,3,0,0,2,3,0,0,0,1,1,0,3,0,0,10,0,1,0,0,1,15,0,1,0,0,0,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,1,1,1,2,4,6,1,2,1,1,1,2,1,4,0,366
M6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,2,2,0,3,1,3,0,0,1,0,1,0,1,2,2,1,0,1,1,3,1,1,0,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,2,0,1,0,1,1,1,0,1,0,2,2,0,4,1,1,0,2,4,0,1,1,1,98
M6E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,5,1,0,2,2,3,2,2,1,1,1,3,2,0,2,1,2,1,4,1,2,2,2,1,1,2,3,2,3,3,4,1,1,3,2,3,2,0,1,2,3,5,0,1,0,0,2,3,3,4,1,1,1,4,5,3,8,4,4,0,1,2,1,0,1,2,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,2,2,2,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,1,0,0,0,0,0,3,1,1,2,0,1,5,2,0,3,5,3,3,2,0,3,3,6,7,1,1,5,0,6,7,5,1,256
M6G,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,0,1,1,4,0,0,1,1,3,15,2,1,2,0,1,0,3,1,1,1,0,1,1,4,1,2,3,0,0,0,0,0,0,0,2,0,1,2,0,1,1,4,0,2,0,0,0,0,0,2,2,0,0,0,4,1,3,2,2,1,2,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,2,2,3,1,2,1,0,1,1,3,2,2,1,1,2,4,4,1,150
M6H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,1,1,0,1,2,0,3,0,6,2,0,2,3,8,2,1,9,1,2,4,0,0,6,2,4,2,7,0,0,4,0,3,4,0,3,4,1,2,2,2,0,2,1,4,2,0,0,2,0,1,0,0,1,1,0,1,1,1,0,2,0,1,0,2,0,1,3,3,2,2,3,1,0,1,0,0,0,0,6,0,1,3,2,1,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,3,0,2,2,1,1,1,1,3,3,1,0,1,2,3,3,4,4,5,6,6,5,5,4,4,3,262
M6J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,2,1,5,3,1,2,0,1,0,1,2,2,0,0,0,0,0,0,2,2,0,2,1,1,2,2,3,3,0,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,2,1,1,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2,2,2,2,0,0,1,3,3,6,8,2,7,5,7,8,13,7,6,10,11,4,10,5,9,2,225
M6K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,2,4,2,1,2,1,3,2,4,1,5,2,2,11,11,4,3,5,5,6,2,40,12,6,2,5,2,1,8,4,6,0,1,2,5,4,4,2,2,2,1,2,8,2,0,1,1,3,0,2,2,2,0,3,2,5,3,1,4,3,1,3,2,1,2,2,2,1,1,2,0,1,2,0,1,1,0,1,2,0,1,1,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,2,5,4,2,7,8,1,6,12,5,4,8,10,3,7,7,4,2,0,5,1,395
M6L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,1,4,5,1,2,6,2,0,3,3,1,1,10,1,5,0,0,3,3,3,2,1,4,1,1,8,3,1,3,1,3,5,2,4,4,4,2,3,3,0,5,2,0,3,1,3,4,1,3,5,5,3,4,4,15,6,2,3,1,4,0,7,2,3,1,3,5,2,3,0,6,0,1,2,1,0,1,2,0,1,0,1,2,2,0,1,2,0,3,0,4,2,1,1,0,3,2,1,1,0,2,0,0,0,0,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3,0,0,3,2,1,3,1,0,1,0,0,0,1,2,0,2,1,1,4,5,10,1,3,5,3,5,5,5,2,348
M6M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3,7,4,2,0,0,5,3,7,14,4,2,20,0,6,16,25,6,7,13,14,18,8,5,7,0,7,7,2,3,4,3,0,3,6,6,4,2,5,3,4,3,10,3,9,5,3,1,2,3,6,5,10,4,7,6,10,9,13,6,7,4,1,9,2,3,5,0,2,3,4,5,4,7,3,2,5,5,2,1,3,1,4,3,3,3,3,0,1,1,1,2,1,2,1,0,1,0,4,1,0,0,0,1,1,0,3,0,3,2,1,3,0,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,1,1,1,0,1,0,8,2,1,0,1,3,1,0,1,2,1,1,2,7,6,7,4,4,12,4,5,3,6,7,6,4,5,10,12,10,6,6,0,665
M6N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,4,2,2,0,1,2,2,3,1,0,2,4,1,2,0,2,2,0,3,2,1,1,1,1,0,1,2,1,2,2,2,1,3,7,1,4,1,1,1,1,1,0,1,6,3,1,1,1,1,4,1,2,3,2,5,6,4,10,7,5,5,7,11,7,3,2,1,3,2,4,3,0,1,0,2,2,5,1,2,1,0,0,2,0,1,0,1,3,0,1,3,0,1,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,1,4,0,2,0,2,0,1,2,1,0,1,0,2,2,3,3,1,0,0,3,3,4,5,3,5,5,2,6,5,4,2,306
M6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,3,0,0,0,1,1,3,0,0,1,0,3,1,2,0,0,2,3,1,2,2,2,0,0,0,1,1,0,2,0,0,1,3,0,1,0,1,1,1,2,1,2,2,1,1,2,1,0,2,1,0,0,1,1,2,0,1,1,0,4,1,0,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,2,0,0,1,1,2,0,0,2,1,2,2,1,2,4,5,1,2,3,0,4,1,141
M6R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,3,0,1,0,6,2,0,2,1,5,0,1,0,64
M6S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,2,0,0,0,2,4,1,1,1,1,0,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,2,0,1,1,2,1,1,0,0,0,0,4,1,0,3,1,1,0,0,0,1,1,0,1,0,1,1,3,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,1,2,1,0,1,1,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,2,1,2,0,2,0,1,0,0,3,0,1,4,2,1,2,5,3,1,1,2,3,0,3,2,3,2,3,153
M8V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,2,4,1,0,0,0,3,0,2,2,4,9,13,1,9,0,1,0,3,4,5,11,2,2,2,1,1,1,1,2,1,1,1,2,2,0,2,4,2,1,0,3,0,0,0,0,1,3,1,1,0,0,3,0,2,7,1,1,0,1,2,1,0,2,20,1,2,0,4,1,1,3,5,1,1,3,1,1,0,1,2,0,1,0,1,0,2,1,2,1,0,0,1,1,0,0,2,0,1,1,1,1,0,0,1,3,1,1,0,1,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,2,2,0,0,2,2,6,4,1,2,5,5,4,4,3,6,7,5,2,295
