"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147","COL148","COL149","COL150","COL151","COL152","COL153","COL154","COL155","COL156","COL157","COL158","COL159","COL160","COL161","COL162","COL163","COL164","COL165","COL166","COL167","COL168","COL169","COL170","COL171","COL172","COL173","COL174","COL175","COL176","COL177","COL178","COL179","COL180"
"M3H","M3H",37011.00,37015.00,40.60,100.00,14225.00,36715.00,2.60,30970.00,36725.00,30685.00,30690.00,30685.00,30685.00,14225.00,14225.00,12.90,4735.00,15.30,5625.00,36830.00,31150.00,6565.00,24580.00,5680.00,36825.00,18550.00,17230.00,4345.00,1760.00,3445.00,4450.00,1955.00,2500.00,3230.00,1045.00,17230.00,1225.00,2955.00,3345.00,7785.00,1920.00,17225.00,1910.00,45.00,175.00,40.00,140.00,0.00,255.00,60.00,40.00,115.00,425.00,620.00,6025.00,85.00,50.00,80.00,150.00,420.00,300.00,15.00,1030.00,30.00,380.00,235.00,295.00,1000.00,110.00,770.00,250.00,830.00,755.00,0.00,85.00,30.00,20.00,130.00,35.00,30.00,230.00,185.00,8500.00,35.00,60.00,530.00,100.00,370.00,410.00,80.00,30.00,300.00,40.00,80.00,4630.00,100.00,45.00,35.00,185.00,1470.00,40.00,3225.00,250.00,10.00,35.00,25.00,0.00,30.00,25.00,70.00,10.00,45.00,405.00,10.00,25.00,0.00,25.00,35.00,145.00,85.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,15.00,2455.00,10.00,15.00,55.00,0.00,135.00,190.00,15.00,100.00,0.00,30.00,10.00,10.00,10.00,1755.00,0.00,0.00,15.00,0.00,15.00,10.00,0.00,90.00,25.00,20.00,0.00,36825.00,18480.00,10790.00,7560.00,13060.00,8040.00,3790.00,4245.00,3450.00,1395.00,180.00,14235.00,14235.00,30760.00,30760.00,17660.00,17655.00
"M3J","M3J",25473.00,25475.00,38.10,100.00,9405.00,25445.00,2.70,21805.00,25470.00,21780.00,21780.00,21785.00,21780.00,9405.00,9410.00,22.90,5825.00,24.60,6265.00,25395.00,19805.00,3835.00,15970.00,5590.00,25395.00,9395.00,14345.00,3085.00,1730.00,3110.00,3835.00,1825.00,2015.00,2585.00,1660.00,14345.00,800.00,2510.00,3655.00,6050.00,1330.00,14345.00,3160.00,35.00,150.00,130.00,455.00,35.00,905.00,70.00,35.00,170.00,115.00,1055.00,2790.00,10.00,35.00,40.00,70.00,55.00,90.00,10.00,1540.00,0.00,85.00,200.00,45.00,150.00,25.00,85.00,105.00,255.00,1040.00,0.00,35.00,25.00,80.00,10.00,390.00,70.00,20.00,415.00,7335.00,185.00,180.00,550.00,35.00,730.00,155.00,100.00,15.00,255.00,150.00,505.00,1745.00,880.00,20.00,10.00,885.00,945.00,20.00,2585.00,420.00,0.00,15.00,0.00,10.00,125.00,10.00,35.00,0.00,235.00,110.00,10.00,0.00,0.00,0.00,15.00,20.00,10.00,0.00,60.00,340.00,0.00,25.00,0.00,0.00,0.00,20.00,0.00,0.00,160.00,15.00,0.00,0.00,120.00,1710.00,25.00,25.00,80.00,0.00,235.00,35.00,45.00,0.00,0.00,15.00,0.00,15.00,170.00,720.00,25.00,100.00,10.00,0.00,100.00,10.00,30.00,65.00,0.00,0.00,0.00,25395.00,16185.00,7060.00,2155.00,11440.00,4560.00,1970.00,2590.00,4030.00,2670.00,180.00,9415.00,9415.00,21765.00,21760.00,11735.00,11735.00
"M3K","M3K",5997.00,5995.00,42.60,100.00,2205.00,5970.00,2.70,5140.00,5975.00,5115.00,5115.00,5115.00,5115.00,2210.00,2210.00,13.00,775.00,15.10,905.00,5740.00,4745.00,900.00,3845.00,995.00,5740.00,2510.00,3115.00,1280.00,240.00,420.00,610.00,235.00,370.00,565.00,120.00,3115.00,170.00,525.00,900.00,1355.00,155.00,3115.00,525.00,10.00,60.00,60.00,25.00,0.00,70.00,50.00,20.00,45.00,10.00,170.00,1420.00,0.00,15.00,0.00,15.00,40.00,15.00,10.00,965.00,0.00,10.00,210.00,40.00,20.00,0.00,10.00,20.00,55.00,65.00,0.00,15.00,0.00,0.00,0.00,0.00,10.00,0.00,40.00,1105.00,0.00,0.00,20.00,0.00,45.00,10.00,0.00,0.00,20.00,0.00,0.00,690.00,0.00,10.00,0.00,120.00,190.00,0.00,565.00,85.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,20.00,0.00,0.00,0.00,5740.00,3255.00,1755.00,725.00,1900.00,885.00,385.00,500.00,685.00,315.00,20.00,2175.00,2175.00,4935.00,4935.00,2660.00,2660.00
"M3L","M3L",17339.00,17340.00,41.30,100.00,5820.00,17315.00,3.00,14530.00,17340.00,14510.00,14505.00,14510.00,14510.00,5825.00,5825.00,15.30,2645.00,17.90,3095.00,17275.00,14875.00,3115.00,11760.00,2400.00,17275.00,6730.00,10205.00,3085.00,1905.00,2345.00,1955.00,815.00,1135.00,910.00,340.00,10205.00,585.00,1505.00,2910.00,4285.00,925.00,10205.00,3505.00,10.00,80.00,395.00,435.00,30.00,785.00,75.00,90.00,110.00,45.00,1460.00,2545.00,10.00,15.00,25.00,15.00,60.00,15.00,0.00,1855.00,10.00,35.00,290.00,20.00,15.00,15.00,40.00,70.00,75.00,605.00,0.00,10.00,70.00,15.00,10.00,145.00,65.00,10.00,290.00,3545.00,35.00,20.00,80.00,15.00,95.00,25.00,15.00,0.00,50.00,25.00,70.00,1245.00,60.00,0.00,10.00,1450.00,335.00,10.00,910.00,320.00,0.00,10.00,0.00,0.00,50.00,15.00,0.00,0.00,245.00,35.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,20.00,145.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,70.00,15.00,0.00,10.00,35.00,410.00,10.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,270.00,0.00,10.00,0.00,0.00,0.00,0.00,55.00,10.00,0.00,0.00,0.00,17275.00,10605.00,5610.00,1060.00,7295.00,1810.00,950.00,860.00,3645.00,1720.00,115.00,5790.00,5790.00,14495.00,14495.00,7415.00,7415.00
"M3M","M3M",24046.00,24045.00,40.50,100.00,9235.00,24025.00,2.60,20120.00,24040.00,20105.00,20105.00,20100.00,20105.00,9235.00,9235.00,16.10,3875.00,20.20,4855.00,24335.00,19805.00,4285.00,15525.00,4530.00,24335.00,10195.00,13505.00,3705.00,1790.00,2630.00,3045.00,1380.00,1660.00,2330.00,635.00,13500.00,735.00,2125.00,3615.00,5825.00,1205.00,13505.00,4130.00,50.00,250.00,235.00,260.00,10.00,1210.00,115.00,100.00,160.00,80.00,1660.00,3385.00,15.00,25.00,35.00,60.00,45.00,90.00,0.00,2155.00,10.00,115.00,360.00,80.00,60.00,10.00,35.00,130.00,165.00,635.00,20.00,10.00,45.00,15.00,0.00,150.00,70.00,20.00,295.00,5340.00,125.00,70.00,80.00,25.00,380.00,65.00,140.00,0.00,25.00,55.00,50.00,2570.00,105.00,15.00,0.00,1030.00,585.00,15.00,2330.00,510.00,20.00,15.00,10.00,10.00,115.00,40.00,30.00,0.00,270.00,100.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,85.00,115.00,15.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,40.00,10.00,0.00,0.00,25.00,1600.00,30.00,0.00,10.00,0.00,55.00,20.00,30.00,0.00,0.00,0.00,10.00,0.00,10.00,1200.00,20.00,0.00,10.00,0.00,110.00,0.00,70.00,10.00,0.00,0.00,0.00,24335.00,14225.00,7335.00,2780.00,9975.00,3480.00,1745.00,1730.00,4280.00,2050.00,175.00,9275.00,9280.00,20325.00,20325.00,11310.00,11305.00
"M3N","M3N",41958.00,41960.00,37.00,100.00,13840.00,41515.00,3.00,33055.00,41540.00,32625.00,32625.00,32625.00,32625.00,13840.00,13840.00,25.30,10505.00,31.80,13220.00,41530.00,34295.00,9715.00,24575.00,7240.00,41535.00,15860.00,24415.00,4245.00,4220.00,5920.00,6520.00,2855.00,3665.00,3515.00,1260.00,24410.00,1545.00,3615.00,6340.00,10145.00,2770.00,24415.00,8480.00,20.00,195.00,450.00,2540.00,60.00,2040.00,150.00,130.00,315.00,130.00,2445.00,3130.00,0.00,35.00,10.00,50.00,70.00,135.00,20.00,1845.00,15.00,160.00,235.00,40.00,95.00,40.00,70.00,135.00,170.00,2920.00,0.00,30.00,65.00,75.00,20.00,820.00,425.00,0.00,1480.00,9855.00,250.00,60.00,240.00,45.00,535.00,35.00,1600.00,10.00,45.00,55.00,180.00,1285.00,635.00,110.00,0.00,3405.00,1345.00,40.00,3515.00,1085.00,0.00,55.00,10.00,20.00,210.00,35.00,35.00,0.00,725.00,140.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,110.00,525.00,0.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,285.00,60.00,0.00,0.00,160.00,1745.00,60.00,0.00,15.00,0.00,95.00,10.00,705.00,0.00,0.00,0.00,0.00,0.00,25.00,365.00,0.00,125.00,45.00,0.00,15.00,0.00,195.00,95.00,15.00,0.00,15.00,41535.00,25860.00,13430.00,2245.00,20550.00,3220.00,1670.00,1555.00,9965.00,6885.00,470.00,13860.00,13860.00,32620.00,32615.00,15280.00,15285.00
"M4A","M4A",14443.00,14445.00,43.80,100.00,6170.00,14115.00,2.30,12410.00,14125.00,12085.00,12085.00,12080.00,12080.00,6170.00,6170.00,17.30,2445.00,22.20,3135.00,13860.00,12435.00,2280.00,10155.00,1430.00,13865.00,6530.00,7160.00,2050.00,865.00,1625.00,1715.00,1015.00,705.00,900.00,175.00,7160.00,485.00,1120.00,1540.00,3110.00,905.00,7160.00,1100.00,15.00,145.00,50.00,190.00,15.00,240.00,25.00,0.00,135.00,70.00,215.00,1695.00,55.00,25.00,10.00,55.00,480.00,35.00,20.00,140.00,10.00,50.00,20.00,100.00,70.00,45.00,20.00,245.00,310.00,1005.00,0.00,40.00,95.00,95.00,0.00,10.00,25.00,20.00,710.00,3345.00,225.00,135.00,330.00,85.00,395.00,180.00,45.00,10.00,60.00,50.00,550.00,705.00,265.00,45.00,25.00,40.00,220.00,10.00,900.00,85.00,10.00,10.00,0.00,15.00,25.00,15.00,10.00,0.00,10.00,95.00,0.00,0.00,0.00,15.00,0.00,0.00,10.00,10.00,60.00,105.00,0.00,20.00,15.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,610.00,20.00,15.00,35.00,0.00,75.00,25.00,15.00,10.00,0.00,0.00,10.00,10.00,130.00,170.00,0.00,25.00,35.00,0.00,0.00,15.00,0.00,35.00,0.00,0.00,0.00,13865.00,7370.00,3790.00,2700.00,5205.00,2465.00,1115.00,1350.00,1575.00,1115.00,50.00,6115.00,6115.00,11805.00,11805.00,6035.00,6030.00
"M4B","M4B",18628.00,18625.00,41.10,100.00,7600.00,18450.00,2.40,15640.00,18600.00,15470.00,15470.00,15470.00,15470.00,7600.00,7600.00,18.60,3430.00,20.90,3860.00,18600.00,16495.00,3315.00,13185.00,2105.00,18600.00,11380.00,6880.00,2185.00,740.00,1210.00,1665.00,820.00,845.00,1080.00,340.00,6880.00,570.00,1250.00,1620.00,2840.00,605.00,6880.00,1295.00,20.00,45.00,15.00,205.00,0.00,280.00,15.00,25.00,220.00,160.00,310.00,2300.00,65.00,25.00,0.00,75.00,555.00,280.00,25.00,140.00,35.00,45.00,85.00,90.00,50.00,70.00,15.00,335.00,400.00,485.00,10.00,15.00,65.00,10.00,40.00,30.00,35.00,15.00,255.00,2790.00,125.00,220.00,280.00,100.00,145.00,65.00,10.00,20.00,60.00,15.00,290.00,935.00,200.00,15.00,35.00,85.00,195.00,15.00,1080.00,175.00,0.00,35.00,10.00,0.00,30.00,0.00,10.00,0.00,90.00,280.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,260.00,150.00,0.00,20.00,10.00,0.00,0.00,20.00,20.00,10.00,10.00,0.00,0.00,0.00,60.00,480.00,15.00,40.00,20.00,0.00,30.00,15.00,0.00,0.00,0.00,20.00,0.00,0.00,35.00,260.00,0.00,20.00,15.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,18600.00,7305.00,5190.00,6105.00,4780.00,2215.00,1005.00,1220.00,1510.00,965.00,90.00,7610.00,7605.00,15610.00,15610.00,8320.00,8315.00
"M4C","M4C",46866.00,46870.00,39.40,100.00,19435.00,46335.00,2.40,38790.00,46390.00,38315.00,38315.00,38315.00,38315.00,19430.00,19430.00,18.80,8725.00,22.00,10190.00,46550.00,40155.00,8480.00,31675.00,6395.00,46550.00,26830.00,18440.00,4395.00,2075.00,3255.00,5080.00,2325.00,2750.00,3645.00,1285.00,18445.00,1640.00,2965.00,3530.00,8715.00,1590.00,18445.00,2535.00,95.00,35.00,35.00,280.00,45.00,430.00,80.00,60.00,390.00,420.00,655.00,4130.00,110.00,75.00,85.00,165.00,530.00,65.00,90.00,530.00,20.00,160.00,125.00,250.00,115.00,110.00,30.00,870.00,795.00,1365.00,20.00,70.00,375.00,75.00,25.00,75.00,50.00,45.00,630.00,10340.00,110.00,3110.00,1395.00,440.00,1015.00,230.00,30.00,100.00,190.00,45.00,1005.00,1230.00,170.00,45.00,50.00,320.00,855.00,75.00,3645.00,280.00,35.00,15.00,10.00,10.00,20.00,30.00,70.00,0.00,90.00,250.00,10.00,0.00,15.00,15.00,30.00,25.00,0.00,40.00,105.00,320.00,20.00,45.00,0.00,0.00,15.00,25.00,105.00,10.00,30.00,0.00,0.00,0.00,75.00,2795.00,65.00,1095.00,140.00,0.00,495.00,35.00,0.00,0.00,20.00,40.00,10.00,175.00,295.00,235.00,20.00,0.00,45.00,0.00,50.00,0.00,10.00,45.00,10.00,10.00,0.00,46550.00,20100.00,12265.00,14190.00,14300.00,7540.00,3365.00,4180.00,4390.00,2175.00,195.00,19490.00,19490.00,38380.00,38380.00,21915.00,21915.00
"M4E","M4E",25044.00,25045.00,40.10,100.00,10785.00,24830.00,2.30,20610.00,24855.00,20400.00,20400.00,20400.00,20400.00,10785.00,10785.00,9.90,2470.00,11.10,2765.00,24745.00,23505.00,5135.00,18370.00,1240.00,24745.00,19580.00,4920.00,2120.00,645.00,875.00,865.00,385.00,475.00,425.00,245.00,4920.00,750.00,1000.00,940.00,1915.00,320.00,4925.00,1010.00,50.00,10.00,15.00,95.00,0.00,70.00,75.00,15.00,50.00,470.00,155.00,2325.00,40.00,35.00,60.00,150.00,95.00,70.00,120.00,105.00,45.00,95.00,45.00,70.00,40.00,25.00,45.00,1025.00,255.00,245.00,10.00,10.00,10.00,35.00,20.00,10.00,10.00,90.00,60.00,1265.00,0.00,25.00,215.00,90.00,100.00,40.00,10.00,40.00,70.00,20.00,55.00,210.00,25.00,15.00,40.00,70.00,230.00,70.00,425.00,75.00,15.00,0.00,0.00,0.00,0.00,15.00,40.00,0.00,0.00,165.00,10.00,15.00,25.00,0.00,0.00,0.00,20.00,55.00,35.00,50.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,20.00,0.00,10.00,135.00,0.00,10.00,15.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,15.00,10.00,10.00,0.00,0.00,15.00,0.00,0.00,0.00,24745.00,5480.00,7225.00,12045.00,2860.00,1495.00,780.00,710.00,1045.00,300.00,20.00,10765.00,10765.00,20295.00,20295.00,11935.00,11935.00
"M4G","M4G",19076.00,19080.00,41.00,100.00,7730.00,18885.00,2.40,15600.00,18940.00,15405.00,15410.00,15405.00,15405.00,7735.00,7730.00,6.60,1250.00,7.80,1465.00,18805.00,17680.00,4075.00,13605.00,1120.00,18805.00,14300.00,4270.00,1665.00,590.00,700.00,810.00,440.00,375.00,500.00,235.00,4270.00,560.00,915.00,840.00,1760.00,200.00,4270.00,750.00,85.00,25.00,0.00,50.00,10.00,70.00,20.00,20.00,15.00,245.00,195.00,1785.00,45.00,25.00,55.00,85.00,115.00,30.00,55.00,60.00,45.00,35.00,30.00,90.00,95.00,90.00,40.00,720.00,180.00,225.00,10.00,35.00,0.00,45.00,15.00,0.00,0.00,60.00,55.00,1450.00,10.00,15.00,260.00,230.00,140.00,120.00,15.00,10.00,145.00,10.00,15.00,170.00,20.00,0.00,15.00,45.00,225.00,60.00,500.00,95.00,45.00,0.00,10.00,0.00,0.00,10.00,20.00,10.00,0.00,155.00,10.00,0.00,10.00,0.00,0.00,50.00,0.00,40.00,50.00,30.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,215.00,0.00,10.00,15.00,0.00,35.00,30.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,20.00,10.00,10.00,0.00,18805.00,4685.00,5280.00,8845.00,2680.00,1760.00,690.00,1065.00,650.00,240.00,35.00,7690.00,7690.00,15310.00,15310.00,8595.00,8595.00
"M4H","M4H",19688.00,19685.00,34.10,100.00,6415.00,19430.00,3.00,14295.00,19440.00,14040.00,14035.00,14035.00,14035.00,6415.00,6415.00,38.10,7410.00,47.70,9270.00,19485.00,14080.00,4705.00,9380.00,5405.00,19490.00,5855.00,12765.00,1155.00,695.00,2120.00,5030.00,2285.00,2740.00,3765.00,865.00,12765.00,1520.00,2045.00,2315.00,5655.00,1220.00,12765.00,805.00,10.00,110.00,0.00,95.00,10.00,140.00,55.00,0.00,105.00,160.00,130.00,1115.00,10.00,10.00,0.00,45.00,210.00,40.00,10.00,30.00,10.00,40.00,15.00,110.00,50.00,35.00,25.00,160.00,320.00,1025.00,85.00,50.00,115.00,130.00,30.00,15.00,20.00,30.00,555.00,9820.00,1165.00,380.00,120.00,65.00,1210.00,35.00,10.00,20.00,45.00,20.00,4440.00,1230.00,215.00,170.00,10.00,20.00,685.00,0.00,3765.00,175.00,0.00,60.00,0.00,0.00,0.00,35.00,70.00,0.00,10.00,250.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,210.00,260.00,20.00,0.00,0.00,0.00,20.00,20.00,50.00,15.00,0.00,0.00,0.00,10.00,120.00,3080.00,620.00,105.00,0.00,10.00,350.00,10.00,0.00,0.00,0.00,0.00,10.00,15.00,1235.00,290.00,115.00,60.00,155.00,0.00,35.00,30.00,0.00,35.00,0.00,0.00,0.00,19485.00,13765.00,4575.00,1150.00,11670.00,5255.00,2115.00,3140.00,3495.00,2595.00,325.00,6445.00,6445.00,14090.00,14085.00,6195.00,6200.00
"M4J","M4J",35738.00,35735.00,40.40,100.00,14755.00,35650.00,2.40,29560.00,35675.00,29465.00,29470.00,29465.00,29470.00,14755.00,14755.00,14.70,5235.00,17.00,6050.00,35585.00,33295.00,6975.00,26320.00,2295.00,35590.00,23610.00,11555.00,4755.00,1585.00,2090.00,2070.00,1130.00,940.00,1055.00,420.00,11550.00,1110.00,1875.00,2825.00,4725.00,1015.00,11555.00,1685.00,30.00,100.00,15.00,180.00,0.00,260.00,55.00,25.00,165.00,430.00,425.00,4800.00,95.00,45.00,110.00,90.00,1765.00,30.00,135.00,550.00,65.00,90.00,155.00,95.00,80.00,145.00,55.00,790.00,500.00,505.00,10.00,0.00,105.00,30.00,15.00,25.00,50.00,50.00,225.00,4475.00,100.00,45.00,1220.00,290.00,655.00,115.00,10.00,105.00,125.00,40.00,240.00,610.00,115.00,10.00,60.00,200.00,545.00,85.00,1050.00,250.00,15.00,25.00,0.00,0.00,45.00,25.00,100.00,0.00,45.00,215.00,25.00,0.00,15.00,0.00,0.00,10.00,0.00,20.00,135.00,35.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,525.00,10.00,0.00,90.00,10.00,95.00,20.00,0.00,10.00,10.00,10.00,0.00,0.00,50.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,25.00,30.00,0.00,35585.00,12280.00,10640.00,12665.00,6995.00,2820.00,1395.00,1425.00,2940.00,1125.00,100.00,14790.00,14790.00,29450.00,29445.00,16565.00,16565.00
"M4K","M4K",31583.00,31585.00,41.40,100.00,14560.00,31115.00,2.10,26965.00,31310.00,26535.00,26530.00,26535.00,26535.00,14555.00,14555.00,14.00,4360.00,16.10,5000.00,31215.00,28590.00,5200.00,23395.00,2630.00,31220.00,20955.00,9700.00,3855.00,1095.00,1855.00,1795.00,825.00,970.00,1110.00,560.00,9705.00,905.00,1560.00,2240.00,4240.00,760.00,9705.00,1665.00,30.00,65.00,20.00,110.00,20.00,185.00,85.00,35.00,185.00,610.00,325.00,4475.00,210.00,105.00,55.00,165.00,1350.00,25.00,120.00,130.00,35.00,75.00,50.00,85.00,115.00,190.00,35.00,770.00,965.00,380.00,0.00,65.00,50.00,25.00,20.00,10.00,25.00,75.00,120.00,3060.00,40.00,60.00,910.00,190.00,250.00,135.00,10.00,85.00,70.00,15.00,130.00,555.00,75.00,30.00,20.00,165.00,330.00,120.00,1105.00,215.00,0.00,15.00,0.00,10.00,0.00,30.00,105.00,25.00,30.00,370.00,20.00,15.00,35.00,0.00,0.00,15.00,10.00,55.00,235.00,30.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.00,25.00,10.00,40.00,0.00,85.00,50.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,165.00,0.00,0.00,10.00,0.00,15.00,0.00,0.00,25.00,25.00,30.00,0.00,31215.00,10585.00,8860.00,11770.00,5985.00,2710.00,1375.00,1335.00,2010.00,1130.00,140.00,14555.00,14555.00,26625.00,26625.00,15595.00,15595.00
"M4L","M4L",32640.00,32640.00,38.90,100.00,13900.00,32315.00,2.30,26775.00,32520.00,26455.00,26450.00,26450.00,26455.00,13900.00,13900.00,14.00,4525.00,16.00,5155.00,32240.00,30165.00,6385.00,23785.00,2075.00,32240.00,23870.00,7905.00,2865.00,1270.00,1550.00,1500.00,675.00,825.00,720.00,455.00,7910.00,990.00,1505.00,1545.00,3305.00,560.00,7910.00,1540.00,45.00,10.00,25.00,165.00,0.00,140.00,60.00,15.00,135.00,550.00,385.00,2445.00,45.00,15.00,95.00,200.00,125.00,40.00,115.00,105.00,60.00,90.00,65.00,60.00,75.00,35.00,40.00,1005.00,270.00,505.00,10.00,55.00,120.00,35.00,10.00,10.00,15.00,80.00,190.00,3340.00,50.00,85.00,1255.00,165.00,280.00,90.00,0.00,40.00,45.00,20.00,270.00,285.00,50.00,0.00,30.00,360.00,310.00,80.00,720.00,150.00,10.00,0.00,0.00,0.00,0.00,10.00,85.00,10.00,40.00,210.00,30.00,20.00,30.00,0.00,20.00,25.00,10.00,55.00,35.00,60.00,10.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,10.00,295.00,0.00,25.00,115.00,0.00,35.00,15.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,10.00,0.00,0.00,32240.00,8755.00,9225.00,14255.00,5305.00,2245.00,1045.00,1190.00,2240.00,740.00,85.00,13855.00,13855.00,26495.00,26495.00,15370.00,15370.00
"M4M","M4M",24689.00,24690.00,39.70,100.00,10785.00,23810.00,2.20,21260.00,24085.00,20450.00,20450.00,20450.00,20450.00,10785.00,10785.00,18.40,4370.00,19.40,4615.00,23655.00,21560.00,3700.00,17865.00,2090.00,23650.00,15710.00,7415.00,2150.00,1500.00,1585.00,1435.00,750.00,685.00,745.00,535.00,7410.00,650.00,1310.00,1575.00,3135.00,750.00,7410.00,985.00,30.00,20.00,20.00,115.00,10.00,130.00,50.00,20.00,105.00,320.00,155.00,1240.00,0.00,15.00,35.00,70.00,50.00,25.00,85.00,35.00,20.00,95.00,125.00,25.00,40.00,15.00,50.00,430.00,125.00,290.00,0.00,25.00,20.00,20.00,0.00,10.00,50.00,45.00,125.00,4810.00,30.00,100.00,2285.00,335.00,210.00,70.00,30.00,40.00,80.00,10.00,90.00,355.00,15.00,0.00,30.00,825.00,300.00,85.00,745.00,135.00,10.00,0.00,0.00,10.00,0.00,10.00,50.00,30.00,15.00,155.00,10.00,10.00,40.00,0.00,0.00,10.00,0.00,50.00,35.00,25.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,390.00,0.00,10.00,215.00,0.00,60.00,10.00,10.00,0.00,10.00,15.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,30.00,50.00,15.00,30.00,23650.00,8200.00,6930.00,8525.00,5540.00,2075.00,935.00,1145.00,2305.00,1075.00,90.00,10760.00,10760.00,20295.00,20295.00,12105.00,12105.00
"M4N","M4N",15330.00,15330.00,42.10,100.00,6190.00,15275.00,2.50,12660.00,15330.00,12610.00,12610.00,12610.00,12610.00,6190.00,6190.00,8.60,1320.00,9.50,1450.00,15170.00,14100.00,3065.00,11035.00,1070.00,15170.00,11085.00,3860.00,1425.00,400.00,655.00,865.00,410.00,455.00,515.00,225.00,3865.00,425.00,830.00,695.00,1545.00,365.00,3865.00,620.00,10.00,30.00,0.00,25.00,0.00,65.00,50.00,0.00,45.00,290.00,105.00,1370.00,15.00,15.00,85.00,100.00,55.00,45.00,50.00,75.00,20.00,70.00,10.00,75.00,55.00,30.00,70.00,415.00,180.00,210.00,25.00,20.00,0.00,30.00,20.00,0.00,0.00,70.00,35.00,1610.00,0.00,10.00,290.00,115.00,90.00,310.00,0.00,15.00,205.00,15.00,25.00,215.00,35.00,10.00,10.00,55.00,215.00,50.00,515.00,105.00,0.00,0.00,0.00,0.00,10.00,10.00,55.00,15.00,10.00,125.00,35.00,0.00,10.00,0.00,15.00,15.00,0.00,40.00,10.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,240.00,0.00,0.00,35.00,0.00,40.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,75.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,25.00,25.00,0.00,15170.00,4305.00,4075.00,6790.00,2500.00,1685.00,665.00,1015.00,635.00,145.00,30.00,6165.00,6165.00,12535.00,12530.00,6055.00,6055.00
